problem_id,argument,version,options,step1_antecedent,step1_consequent,step2_links,step3_inference_type
LH-1-1-v1.0.0,カナリアは鳥である。したがって、カナリアは空を飛ぶ。なぜならば鳥は空を飛ぶからである。,1.0.0,"カナリアである, カナリアでない, 鳥である, 鳥でない, 空を飛ぶ, 空を飛ばない",カナリアである,空を飛ぶ,"カナリアである,鳥である|鳥である,空を飛ぶ",演繹推論
LH-1-2-v1.0.0,人間は脊椎動物である。したがって、人間は哺乳類である。なぜならば、哺乳類は脊椎動物だからである。,1.0.0,"人間である, 人間でない, 脊椎動物である, 脊椎動物でない, 哺乳類である, 哺乳類でない",人間である,哺乳類である,"人間である,脊椎動物である|哺乳類である,脊椎動物である",仮説推論
LH-1-3-v1.0.0,リンゴは果物である。したがって、イチゴは果物である。なぜならば、ミカンは果物だからである。,1.0.0,"リンゴである, リンゴでない, イチゴである, イチゴでない, ミカンである, ミカンでない, 果物である, 果物でない",イチゴである,果物である,"リンゴである,果物である|ミカンである,果物である",非形式推論
LH-2-1-v1.0.0,ダイヤモンドは高価である。したがって、ダイヤモンドは宝石である。なぜならば、宝石は高価であるからである。,1.0.0,"ダイヤモンドである, ダイヤモンドでない, 高価である, 高価でない, 宝石である, 宝石でない",ダイヤモンドである,宝石である,"ダイヤモンドである,高価である|宝石である,高価である",仮説推論
LH-2-2-v1.0.0,植物は光合成を行う。したがって、植物は野菜である。なぜならば、光合成を行うなら野菜であるからである。,1.0.0,"植物である, 植物でない, 光合成を行う, 光合成を行わない, 野菜である, 野菜でない",植物である,野菜である,"植物である,光合成を行う|光合成を行う,野菜である",演繹推論
LH-2-3-v1.0.0,犬は哺乳類である。したがって、犬は尻尾を持つ。なぜならば、哺乳類は尻尾を持つからである。,1.0.0,"犬である, 犬でない, 哺乳類である, 哺乳類でない, 尻尾を持つ, 尻尾を持たない",犬である,尻尾を持つ,"犬である,哺乳類である|哺乳類である,尻尾を持つ",演繹推論
LH-2-4-v1.0.0,コーヒーは飲み物である。したがって、飲み物は苦い。なぜならば、コーヒーは苦いからである。,1.0.0,"コーヒーである, コーヒーでない, 飲み物である, 飲み物でない, 苦い, 苦くない",飲み物である,苦い,"コーヒーである,飲み物である|コーヒーである,苦い",仮説推論
LH-2-5-v1.0.0,電車は線路を走る。したがって、自動車はタイヤを持つ。なぜならば、バスは道路を走るからである。,1.0.0,"電車である, 電車でない, バスである, バスでない, 自動車である, 自動車でない, 線路を走る, 線路を走らない, 道路を走る, 道路を走らない, タイヤを持つ, タイヤを持たない",自動車である,タイヤを持つ,"電車である,線路を走る|バスである,道路を走る",非形式推論
LH-2-6-v1.0.0,カラスは鳥である。したがって、カラスはエラを持たない。なぜならば、鳥はエラを持たないからである。,1.0.0,"カラスである, カラスでない, 鳥である, 鳥でない, エラを持つ, エラを持たない",カラスである,エラを持たない,"カラスである,鳥である|鳥である,エラを持たない",演繹推論
LH-2-7-v1.0.0,植物は光合成を行う。したがって、光合成を行うなら哺乳類でない。なぜならば、植物は哺乳類でないからである。,1.0.0,"植物である, 植物でない, 哺乳類である, 哺乳類でない, 光合成を行う, 光合成を行わない",光合成を行う,哺乳類でない,"植物である,光合成を行う|植物である,哺乳類でない",仮説推論
LH-2-8-v1.0.0,蝶は羽を持つ。したがって、蝶は鳥である。なぜならば、鳥は羽を持つからである。,1.0.0,"蝶である, 蝶でない, 鳥である, 鳥でない, 羽を持つ, 羽を持たない",蝶である,鳥である,"蝶である,羽を持つ|鳥である,羽を持つ",仮説推論
LH-3-1-v1.0.0,ペンギンは空を飛ばない。したがって、ペンギンは犬である。なぜならば、犬は空を飛ばないからである。,1.0.0,"ペンギンである, ペンギンでない, 犬である, 犬でない, 空を飛ぶ, 空を飛ばない",ペンギンである,犬である,"ペンギンである,空を飛ばない|犬である,空を飛ばない",仮説推論
LH-3-2-v1.0.0,ソクラテスは人間である。したがって、ソクラテスは死ぬ。なぜならば、人間は死ぬからである。,1.0.0,"ソクラテスである, ソクラテスでない, 人間である, 人間でない, 死ぬ, 死なない",ソクラテスである,死ぬ,"ソクラテスである,人間である|人間である,死ぬ",演繹推論
LH-3-3-v1.0.0,カラスは空を飛ぶ。したがって、ハトは空を飛ぶ。なぜならば、スズメは空を飛ぶからである。,1.0.0,"カラスである, カラスでない, ハトである, ハトでない, スズメである, スズメでない, 空を飛ぶ, 空を飛ばない",ハトである,空を飛ぶ,"カラスである,空を飛ぶ|スズメである,空を飛ぶ",非形式推論
LH-3-4-v1.0.0,人は哺乳類である。したがって、哺乳類は言葉を話す。なぜならば、人は言葉を話すからである。,1.0.0,"人である, 人でない, 哺乳類である, 哺乳類でない, 言葉を話す, 言葉を話さない",哺乳類である,言葉を話す,"人である,哺乳類である|人である,言葉を話す",仮説推論
LH-3-5-v1.0.0,魚類はウロコを持つ。したがって、魚類は肺呼吸でない。なぜならば、ウロコを持つなら肺呼吸でないからである。,1.0.0,"魚類である, 魚類でない, ウロコを持つ, ウロコを持たない, 肺呼吸である, 肺呼吸でない",魚類である,肺呼吸でない,"魚類である,ウロコを持つ|ウロコを持つ,肺呼吸でない",演繹推論
LH-3-6-v1.0.0,赤信号を渡ることは危険な行為である。したがって、危険な行為は禁止されている。なぜならば、赤信号を渡ることは禁止されているからである。,1.0.0,"赤信号を渡ること, 赤信号を渡らないこと, 危険な行為である, 危険な行為でない, 禁止されている, 禁止されていない",危険な行為である,禁止されている,"赤信号を渡ること,危険な行為である|赤信号を渡ること,禁止されている",仮説推論
LH-3-7-v1.0.0,鳥は卵を産む。したがって、鳥は魚である。なぜならば、卵を産むなら魚であるからである。,1.0.0,"鳥である, 鳥でない, 魚である, 魚でない, 卵を産む, 卵を産まない",鳥である,魚である,"鳥である,卵を産む|卵を産む,魚である",演繹推論
LH-3-8-v1.0.0,イワシは卵を産む。したがって、イワシは魚である。なぜならば、魚は卵を産むからである。,1.0.0,"イワシである, イワシでない, 魚である, 魚でない, 卵を産む, 卵を産まない",イワシである,魚である,"イワシである,卵を産む|魚である,卵を産む",仮説推論